domain1,mx1,provider1
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
 ,,N/A
 ,,N/A
 ,,N/A
 ,,N/A
 ,,N/A
 ,,N/A
 ,,N/A
@gmail.com,30 alt3.gmail-smtp-in.l.google.com. / 10 alt1.gmail-smtp-in.l.google.com. / 40 alt4.gmail-smtp-in.l.google.com. / 20 alt2.gmail-smtp-in.l.google.com. / 5 gmail-smtp-in.l.google.com.,Google
@gmail.com,30 alt3.gmail-smtp-in.l.google.com. / 10 alt1.gmail-smtp-in.l.google.com. / 40 alt4.gmail-smtp-in.l.google.com. / 20 alt2.gmail-smtp-in.l.google.com. / 5 gmail-smtp-in.l.google.com.,Google
@JAZZ.COM.PK,0 jazz-com-pk.mail.protection.outlook.com.,Microsoft
@ssgc.com.pk,15 mail2.ssgc.com.pk. / 25 mx.super.net.pk. / 10 mail.ssgc.com.pk. / 5 mail3.ssgc.com.pk. / 20 maildr.ssgc.com.pk.,Third Party
@ubl.com.pk,0 mxa-0018f001.gslb.pphosted.com. / 0 mxb-0018f001.gslb.pphosted.com.,Third Party
 ,,N/A
 ,,N/A
@keenu.pk,10 alt4.aspmx.l.google.com. / 1 aspmx.l.google.com. / 5 alt2.aspmx.l.google.com. / 5 alt1.aspmx.l.google.com. / 10 alt3.aspmx.l.google.com.,Google
@keenu.pk,10 alt4.aspmx.l.google.com. / 1 aspmx.l.google.com. / 5 alt2.aspmx.l.google.com. / 5 alt1.aspmx.l.google.com. / 10 alt3.aspmx.l.google.com.,Google
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@sc.com,10 cluster4.us.messagelabs.com. / 20 cluster4a.us.messagelabs.com.,Third Party
@mmm.com,10 mx2.hc3069-42.iphmx.com. / 10 mx1.hc3069-42.iphmx.com.,Third Party
@mmm.com,10 mx2.hc3069-42.iphmx.com. / 10 mx1.hc3069-42.iphmx.com.,Third Party
@khanassociates.com.pk,10 khanassociates-com-pk.mail.protection.outlook.com.,Microsoft
@khanassociates.com.pk,10 khanassociates-com-pk.mail.protection.outlook.com.,Microsoft
@gmail.com,30 alt3.gmail-smtp-in.l.google.com. / 10 alt1.gmail-smtp-in.l.google.com. / 40 alt4.gmail-smtp-in.l.google.com. / 20 alt2.gmail-smtp-in.l.google.com. / 5 gmail-smtp-in.l.google.com.,Google
@gmail.com,30 alt3.gmail-smtp-in.l.google.com. / 10 alt1.gmail-smtp-in.l.google.com. / 40 alt4.gmail-smtp-in.l.google.com. / 20 alt2.gmail-smtp-in.l.google.com. / 5 gmail-smtp-in.l.google.com.,Google
@azizgrp.com,10 aspmx2.googlemail.com. / 0 aspmx.l.google.com. / 5 alt1.aspmx.l.google.com. / 10 aspmx3.googlemail.com. / 5 alt2.aspmx.l.google.com.,Google
@a2zepayments.com,1 aspmx.l.google.com.,Google
@gmail.com,30 alt3.gmail-smtp-in.l.google.com. / 10 alt1.gmail-smtp-in.l.google.com. / 40 alt4.gmail-smtp-in.l.google.com. / 20 alt2.gmail-smtp-in.l.google.com. / 5 gmail-smtp-in.l.google.com.,Google
@maccagroup.com,0 maccagroup.com.,Third Party
@keeptuckin.com,MX NOT FOUND,N/A
@keeptuckin.com,MX NOT FOUND,N/A
@keeptuckin.com,MX NOT FOUND,N/A
@accompany.com.pk,10 mx.siteprotect.com.,Third Party
 ,,N/A
@gmail.com,30 alt3.gmail-smtp-in.l.google.com. / 10 alt1.gmail-smtp-in.l.google.com. / 40 alt4.gmail-smtp-in.l.google.com. / 20 alt2.gmail-smtp-in.l.google.com. / 5 gmail-smtp-in.l.google.com.,Google
@gmail.com,30 alt3.gmail-smtp-in.l.google.com. / 10 alt1.gmail-smtp-in.l.google.com. / 40 alt4.gmail-smtp-in.l.google.com. / 20 alt2.gmail-smtp-in.l.google.com. / 5 gmail-smtp-in.l.google.com.,Google
@gmail.com,30 alt3.gmail-smtp-in.l.google.com. / 10 alt1.gmail-smtp-in.l.google.com. / 40 alt4.gmail-smtp-in.l.google.com. / 20 alt2.gmail-smtp-in.l.google.com. / 5 gmail-smtp-in.l.google.com.,Google
@adamjeeinsurance.com,0 adamjeeinsurance-com.mail.protection.outlook.com.,Microsoft
@adamjeeinsurance.com,0 adamjeeinsurance-com.mail.protection.outlook.com.,Microsoft
@adcompk.com,30 lastmx.spamexperts.net. / 10 mx.spamexperts.com. / 20 fallbackmx.spamexperts.eu.,Third Party
@adcompk.com,30 lastmx.spamexperts.net. / 10 mx.spamexperts.com. / 20 fallbackmx.spamexperts.eu.,Third Party
@adsells.biz,0 mailbox.adsells.biz.,Third Party
@adsells.biz,0 mailbox.adsells.biz.,Third Party
@adells.biz,DOMAIN NON EXIST,N/A
@advanspakistan.com,30 lastmx.spamexperts.net. / 20 fallbackmx.spamexperts.eu. / 10 mx.spamexperts.com.,Third Party
@advanspakistan.com,30 lastmx.spamexperts.net. / 20 fallbackmx.spamexperts.eu. / 10 mx.spamexperts.com.,Third Party
@khanassociates.com.pk,10 khanassociates-com-pk.mail.protection.outlook.com.,Microsoft
@khanassociates.com.pk,10 khanassociates-com-pk.mail.protection.outlook.com.,Microsoft
@khanassociates.com.pk,10 khanassociates-com-pk.mail.protection.outlook.com.,Microsoft
@khanassociates.com.pk,10 khanassociates-com-pk.mail.protection.outlook.com.,Microsoft
